Name,Year,Director,خفن,Type,Animation,Comment
Now you see me,2013,,,Movie,IsNot,
Now You See Me 2,2013,,,Movie,IsNot,
Number 23,2016,,,Movie,IsNot,
Oceans 8 2018,2018,,:D,Movie,IsNot,
Palm Spring,2020,,:D,Movie,IsNot,
Parasite,2019,,*,Movie,IsNot,
Patch Adams,1998,,,Movie,IsNot,
Peaceful Warrior,2006,,,Movie,IsNot,
Phantom Thread,2017,,,Movie,IsNot,
Pi,1998,,,Movie,IsNot,
PK,2014,,,Movie,IsNot,
Promising young woman ,2022,,,Movie,IsNot,
Predestination,2014,,*,Movie,IsNot,
Prestige,2006,,,Movie,IsNot,
Prisoners,2013,,,Movie,IsNot,
Pulp Fiction,1994,,,Movie,IsNot,
Ransom,1996,,,Movie,IsNot,
Ready Player One,2018,,,Movie,IsNot,
Replicas,2018,,,Movie,IsNot,
Requiem for a Dream,2000,,,Movie,IsNot,
Reservoir Dogs,1992,,,Movie,IsNot,
Schindler's List,1993,,,Movie,IsNot,
Searching,2018,,,Movie,IsNot,
Self less,2015,,*,Movie,IsNot,
Seven,1995,,*,Movie,IsNot,
Shutter island,2008,,*,Movie,IsNot,
Silver Linings Playbook,2012,,,Movie,IsNot,
Silver Linings Playbook,2012,,,Movie,IsNot,
Slumdog Millionaire,2008,,,Movie,IsNot,
Snowpiercer,2013,,*,Movie,IsNot,
Stranger than Fiction,2006,,,Movie,IsNot,
Swiss Army Man,2016,,,Movie,IsNot,
Taxi driver,1976,,,Movie,IsNot,
Ted,2012,,:D,Movie,IsNot,
Ted 2,2015,,:D,Movie,IsNot,
Tenet,2020,,,Movie,IsNot,
Tenet,2020,,,Movie,IsNot,
The Apartment,1960,,,Movie,IsNot,
The Ballad of Buster Scruggs,2018,,,Movie,IsNot,
The Big Lebowski,1998,,,Movie,IsNot,
The Commuter,2018,,,Movie,IsNot,
The Dark Knight,2008,,*,Movie,IsNot,
The DaVinci Code,2006,,,Movie,IsNot,
The Departed,2006,,,Movie,IsNot,
The devil advocate,1997,,,Movie,IsNot,
The Founder,2016,,,Movie,IsNot,
The Fountain,2006,,,Movie,IsNot,
The Girl With The Dragon Tattoo,2011,,,Movie,IsNot,
The Godfather,1972,,,Movie,IsNot,
The Grand Budapest Hotel,2014,,,Movie,IsNot,
The Great Gatsby,2013,,,Movie,IsNot,
The Heat,2013,,,Movie,IsNot,
The House That Jack Built,2018,,,Movie,IsNot,
The Hunger Games,2012,,,Movie,IsNot,
The Hunt,2012,,,Movie,IsNot,
The Hunt,2012,,,Movie,IsNot,
The Intouchables,2011,,,Movie,IsNot,
The invention of Lying,2009,,,Movie,IsNot,
The Inventor,2019,,,Movie,IsNot,
The Invisible guest,2016,,*,Movie,IsNot,
The Invisible Man,2020,,,Movie,IsNot,
The Judge,2014,,,Movie,IsNot,
The Kings Speech,2010,,,Movie,IsNot,
The Legend of 1900,1998,,,Movie,IsNot,
The Legend of 1900,1998,,,Movie,IsNot,
The Lighthouse,2019,,,Movie,IsNot,
The Man from Earth,2007,,,Movie,IsNot,
The Mandela Effect,2019,,,Movie,IsNot,
The Matrix,1999,,*,Movie,IsNot,
The Others,2001,,*,Movie,IsNot,
The Peanut Butter Falcon,2019,,,Movie,IsNot,
The PianoTeacher,2001,,,Movie,IsNot,
The Platform,2019,,*,Movie,IsNot,
The Professor,2018,,*,Movie,IsNot,
The Revenant,2015,,,Movie,IsNot,
The Rroom,2019,,,Movie,IsNot,
The Shawshank Redemption,1994,,*,Movie,IsNot,
The Sixth Sense,1999,,*,Movie,IsNot,
The Theory of Everything,2014,,,Movie,IsNot,
The Trial of the Chigago7,2020,,*,Movie,IsNot,
The Truman Show,1998,,*,Movie,IsNot,
The Usual Suspects,1995,,*,Movie,IsNot,
The Wolf of Wall Street,2013,,,Movie,IsNot,
Transendence,2014,,*,Movie,IsNot,
Vacation ,2015,,:D,Movie,IsNot,
Vicky Cristina Barcelona,2008,,*,Movie,IsNot,
What Dreams May Come,1998,,,Movie,IsNot,
Why Him,2016,,:D,Movie,IsNot,
Wild,2014,,,Movie,IsNot,
Wild Tales,2014,,,Movie,IsNot,
Wonder,2017,,,Movie,IsNot,
Yes Man,2008,,:D,Movie,IsNot,
Yes Man,2008,,,Movie,IsNot,
Youre Not You,2014,,,Movie,IsNot,
Better call Sauol,2015,,*,Series,IsNot,
Big little lies,2017,,,Series,IsNot,
Black mirror,2011,,*,Series,IsNot,
Breaking Bad,2008,,*,Series,IsNot,
Calls,2021,,*,Series,IsNot,
Dark,2017,,*,Series,IsNot,
Dexter,2006,,*,Series,IsNot,
Fleabag,2016,,,Series,IsNot,
Grays Anatomy,2005,,,Series,IsNot,
