name,year,director,url,cast
Joker,2019,Todd Phillips,https://www.imdb.com//title/tt7286456/?ref_=fn_al_tt_1,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais, Rocco Luna, Marc Maron, Sondra James, Murphy Guyer, Douglas Hodge, Dante Pereira-Olson, Carrie Louise Putrello, Sharon Washington, Hannah Gross, Frank Wood, Brian Tyree Henry, April Grace, Mick Szal, Carl Lundstedt, Michael Benz, Ben Warheit, Gary Gulman, Sam Morril, Chris Redd, Mandela Bellamy, Demetrius Dotson II, Greer Barnes, Ray Iannicelli, Bryan Callen, Peter Hans Benson, Vito Gerbino, Adam Quezada, Xavyer Ureña, Evan Rosado, Damian Emmanuel, Mike Troll, Jane Fergus, David Gibson, Tony D. Head, Jeff McCarthy, Kim Brockington, Troy Roberts, Lou Young, Michael-Scott Druckenmiller, Craig Austin, John Cenatiempo, Danny Schoch, Keith Buterbaugh, James Ciccone, Rich Campbell, Roger Squitero, Steven Elson, Graham Maby, John Alldred, Alonzo Wright, Jack Wilkins, Richard Baratta"
The Platform,2019,Galder Gaztelu-Urrutia,https://www.imdb.com//title/tt8228288/?ref_=fn_al_tt_1,"Ivan Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale, Alexandra Masangkay, Zihara Llana, Mario Pardo, Algis Arlauskas, Txubio Fernández de Jáuregui, Eric Goode, Óscar Oliver, Chema Trujillo, Miriam Martín, Gorka Zufiaurre, Miriam K. Martxante, Miren Gaztañaga, Braulio Cortés, Javier Mediavilla, Álvaro Orellana, Juan Dopico, Lian Xu Shao"
